"","id","training_condition"
"1","id0001","training_receiver_self"
"2","id0002","training_receiver_others"
"3","id0003","training_receiver_others"
"4","id0004","control"
"5","id0005","training_receiver_self"
"6","id0006","control"
"7","id0007","control"
"8","id0008","training_receiver_others"
"9","id0009","control"
"10","id0010","training_receiver_others"
"11","id0011","training_receiver_others"
"12","id0012","control"
"13","id0013","training_receiver_self"
"14","id0014","training_receiver_others"
"15","id0015","training_receiver_others"
"16","id0016","training_receiver_self"
"17","id0017","training_receiver_self"
"18","id0018","training_receiver_others"
"19","id0019","training_receiver_others"
"20","id0020","training_receiver_self"
"21","id0021","training_receiver_others"
"22","id0022","control"
"23","id0023","training_receiver_self"
"24","id0024","training_receiver_others"
"25","id0025","control"
"26","id0026","training_receiver_others"
"27","id0027","control"
"28","id0028","training_receiver_self"
"29","id0029","training_receiver_self"
"30","id0030","control"
"31","id0031","training_receiver_others"
"32","id0032","training_receiver_others"
"33","id0033","control"
"34","id0034","training_receiver_self"
"35","id0035","training_receiver_self"
"36","id0036","control"
"37","id0037","training_receiver_self"
"38","id0038","training_receiver_self"
"39","id0039","control"
"40","id0040","control"
"41","id0041","control"
"42","id0042","training_receiver_others"
"43","id0043","control"
"44","id0044","training_receiver_self"
"45","id0045","training_receiver_others"
"46","id0046","training_receiver_others"
"47","id0047","control"
"48","id0048","control"
"49","id0049","control"
"50","id0050","training_receiver_self"
"51","id0051","control"
"52","id0052","training_receiver_self"
"53","id0053","training_receiver_others"
"54","id0054","training_receiver_self"
"55","id0055","training_receiver_self"
"56","id0056","training_receiver_self"
"57","id0056","control"
"58","id0057","training_receiver_self"
"59","id0058","training_receiver_others"
"60","id0059","training_receiver_others"
"61","id0060","training_receiver_self"
"62","id0061","control"
"63","id0062","control"
"64","id0063","training_receiver_self"
"65","id0064","training_receiver_self"
"66","id0065","training_receiver_others"
"67","id0066","control"
"68","id0067","training_receiver_self"
"69","id0068","training_receiver_others"
"70","id0069","training_receiver_others"
"71","id0070","training_receiver_self"
"72","id0071","control"
"73","id0072","training_receiver_self"
"74","id0073","training_receiver_self"
"75","id0074","control"
"76","id0075","training_receiver_others"
"77","id0076","training_receiver_self"
"78","id0077","training_receiver_self"
"79","id0078","control"
"80","id0079","training_receiver_others"
"81","id0080","control"
"82","id0081","control"
"83","id0082","training_receiver_others"
"84","id0083","training_receiver_self"
"85","id0084","control"
"86","id0085","control"
"87","id0086","training_receiver_self"
"88","id0087","training_receiver_self"
"89","id0088","training_receiver_others"
"90","id0089","control"
"91","id0090","training_receiver_others"
"92","id0091","training_receiver_others"
"93","id0092","training_receiver_others"
"94","id0093","training_receiver_self"
"95","id0094","control"
"96","id0095","training_receiver_others"
"97","id0096","training_receiver_others"
"98","id0097","control"
"99","id0098","training_receiver_self"
"100","id0099","control"
"101","id0100","training_receiver_others"
"102","id0101","training_receiver_others"
"103","id0102","control"
"104","id0103","control"
"105","id0104","control"
"106","id0105","training_receiver_others"
"107","id0106","training_receiver_self"
"108","id0107","training_receiver_others"
"109","id0108","control"
"110","id0109","training_receiver_self"
"111","id0110","training_receiver_self"
"112","id0111","control"
"113","id0112","training_receiver_others"
"114","id0113","training_receiver_self"
"115","id0114","training_receiver_self"
"116","id0115","training_receiver_others"
"117","id0116","control"
"118","id0117","control"
"119","id0118","training_receiver_self"
"120","id0119","control"
"121","id0120","control"
"122","id0121","control"
"123","id0122","control"
"124","id0123","training_receiver_self"
"125","id0124","control"
"126","id0125","training_receiver_others"
"127","id0126","training_receiver_others"
"128","id0127","control"
"129","id0128","training_receiver_self"
"130","id0129","training_receiver_self"
"131","id0130","training_receiver_self"
"132","id0131","training_receiver_self"
"133","id0132","training_receiver_others"
"134","id0133","control"
"135","id0134","control"
"136","id0135","control"
"137","id0136","control"
"138","id0137","training_receiver_self"
"139","id0138","control"
"140","id0139","control"
"141","id0140","control"
