"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",0,1,1,0,"practice","Practice",9,1,"black","f","accept",1,5027
"2","id0001",0,2,1,0,"practice","Practice",5,5,"black","f","accept",5,605
"3","id0001",1,1,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,2044
"4","id0001",1,2,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,2501
"5","id0001",1,3,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","f","accept",1,4943
"6","id0001",1,4,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,1639
"7","id0001",1,5,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,520
"8","id0001",1,6,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,929
"9","id0001",1,7,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,1045
"10","id0001",1,8,0,0,"human","training_receiver_self",6,4,"Orange","f","accept",4,2789
"11","id0001",1,9,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,454
"12","id0001",1,10,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","f","accept",4,442
"13","id0001",1,11,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,1548
"14","id0001",1,12,0,0,"human","training_receiver_self",4,6,"Orange","j","reject",0,378
"15","id0001",1,13,0,1,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,110
"16","id0001",1,14,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,331
"17","id0001",1,15,0,0,"human","training_receiver_self",7,3,"Orange","f","accept",3,81
"18","id0001",1,16,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,1319
"19","id0001",1,17,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","j","reject",0,392
"20","id0001",1,18,0,0,"human","training_receiver_self",8,2,"Orange","f","accept",2,613
"21","id0001",1,19,0,0,"human","training_receiver_self",9,1,"Orange","f","accept",1,351
"22","id0001",1,20,0,0,"human","training_receiver_self",6,4,"Orange","f","accept",4,155
"23","id0001",1,21,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,810
"24","id0001",1,22,0,0,"human","training_receiver_self",7,3,"Orange","j","reject",0,395
"25","id0001",1,23,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,348
"26","id0001",1,24,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","f","accept",2,3029
"27","id0002",0,1,1,0,"practice","Practice",1,9,"black","f","accept",9,916
"28","id0002",0,2,1,0,"practice","Practice",5,5,"black","f","accept",5,416
"29","id0002",1,1,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,33
"30","id0002",1,2,0,1,"AI","training_receiver_others",5,5,"Orange","f","accept",5,616
"31","id0002",1,3,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,871
"32","id0002",1,4,0,0,"AI","training_receiver_others",6,4,"Orange","f","accept",4,862
"33","id0002",1,5,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,257
"34","id0002",1,6,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,753
"35","id0002",1,7,0,0,"AI","training_receiver_others",4,6,"Orange","f","accept",6,610
"36","id0002",1,8,0,0,"AI","training_receiver_others",6,4,"Orange","f","accept",4,662
"37","id0002",1,9,0,0,"AI","training_receiver_others",5,5,"Orange","f","accept",5,375
"38","id0002",1,10,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,435
"39","id0002",1,11,0,0,"human","training_receiver_others",7,3,"CornflowerBlue","j","reject",0,1405
"40","id0002",1,12,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,436
"41","id0002",1,13,0,0,"human","training_receiver_others",7,3,"CornflowerBlue","j","reject",0,402
"42","id0002",1,14,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","f","accept",6,724
"43","id0002",1,15,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,776
"44","id0002",1,16,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,484
"45","id0002",1,17,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,1367
"46","id0002",1,18,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,1033
"47","id0002",1,19,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,6975
"48","id0002",1,20,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","f","accept",4,1876
"49","id0002",1,21,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,4742
"50","id0002",1,22,0,0,"AI","training_receiver_others",4,6,"Orange","f","accept",6,2182
"51","id0002",1,23,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","f","accept",6,5313
"52","id0002",1,24,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","f","accept",4,388
"53","id0003",0,1,1,0,"practice","Practice",3,7,"black","f","accept",7,5404
"54","id0003",0,2,1,0,"practice","Practice",1,9,"black","f","accept",9,860
"55","id0003",1,1,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,1680
"56","id0003",1,2,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,2888
"57","id0003",1,3,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","j","reject",0,1623
"58","id0003",1,4,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,838
"59","id0003",1,5,0,0,"human","training_receiver_others",7,3,"CornflowerBlue","j","reject",0,1563
"60","id0003",1,6,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,763
"61","id0003",1,7,0,0,"AI","training_receiver_others",4,6,"Orange","f","accept",6,576
"62","id0003",1,8,0,0,"AI","training_receiver_others",6,4,"Orange","j","reject",0,876
"63","id0003",1,9,0,0,"AI","training_receiver_others",6,4,"Orange","j","reject",0,645
"64","id0003",1,10,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,304
"65","id0003",1,11,0,0,"human","training_receiver_others",7,3,"CornflowerBlue","j","reject",0,605
"66","id0003",1,12,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","j","reject",0,1144
"67","id0003",1,13,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,741
"68","id0003",1,14,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,849
"69","id0003",1,15,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,698
"70","id0003",1,16,0,1,"AI","training_receiver_others",4,6,"Orange","f","accept",6,710
"71","id0003",1,17,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,605
"72","id0003",1,18,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,778
"73","id0003",1,19,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,683
"74","id0003",1,20,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,680
"75","id0003",1,21,0,0,"AI","training_receiver_others",5,5,"Orange","f","accept",5,725
"76","id0003",1,22,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","j","reject",0,734
"77","id0003",1,23,0,0,"AI","training_receiver_others",5,5,"Orange","f","accept",5,810
"78","id0003",1,24,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","f","accept",6,13564
"79","id0004",0,1,1,0,"practice","Practice",6,4,"black","f","accept",4,265
"80","id0004",0,2,1,0,"practice","Practice",2,8,"black","f","accept",8,254
"81","id0004",1,1,0,0,"AI","control",9,1,"CornflowerBlue","j","reject",0,587
"82","id0004",1,2,0,0,"human","control",9,1,"Orange","j","reject",0,505
"83","id0004",1,3,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,442
"84","id0004",1,4,0,1,"AI","control",8,2,"CornflowerBlue","j","reject",0,368
"85","id0004",1,5,0,0,"human","control",6,4,"Orange","f","accept",4,61
"86","id0004",1,6,0,0,"AI","control",7,3,"CornflowerBlue","j","reject",0,208
"87","id0004",1,7,0,0,"AI","control",4,6,"CornflowerBlue","f","accept",6,301
"88","id0004",1,8,0,0,"AI","control",9,1,"CornflowerBlue","j","reject",0,333
"89","id0004",1,9,0,0,"human","control",4,6,"Orange","f","accept",6,308
"90","id0004",1,10,0,0,"AI","control",4,6,"CornflowerBlue","f","accept",6,387
"91","id0004",1,11,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,349
"92","id0004",1,12,0,0,"human","control",6,4,"Orange","f","accept",4,246
"93","id0004",1,13,0,0,"AI","control",8,2,"CornflowerBlue","j","reject",0,353
"94","id0004",1,14,0,0,"AI","control",5,5,"CornflowerBlue","f","accept",5,265
"95","id0004",1,15,0,0,"human","control",7,3,"Orange","j","reject",0,233
"96","id0004",1,16,0,0,"human","control",8,2,"Orange","j","reject",0,316
"97","id0004",1,17,0,0,"human","control",7,3,"Orange","j","reject",0,139
"98","id0004",1,18,0,0,"AI","control",7,3,"CornflowerBlue","j","reject",0,254
"99","id0004",1,19,0,0,"human","control",8,2,"Orange","j","reject",0,238
"100","id0004",1,20,0,0,"human","control",9,1,"Orange","j","reject",0,146
"101","id0004",1,21,0,0,"AI","control",5,5,"CornflowerBlue","f","accept",5,229
"102","id0004",1,22,0,0,"human","control",5,5,"Orange","f","accept",5,302
"103","id0004",1,23,0,0,"human","control",4,6,"Orange","f","accept",6,347
"104","id0004",1,24,0,0,"human","control",5,5,"Orange","f","accept",5,473
"105","id0005",0,1,1,0,"practice","Practice",1,9,"black","f","accept",9,8020
"106","id0005",0,2,1,0,"practice","Practice",9,1,"black","f","accept",1,499
"107","id0005",1,1,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,1712
"108","id0005",1,2,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,1027
"109","id0005",1,3,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,642
"110","id0005",1,4,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,380
"111","id0005",1,5,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,130
"112","id0005",1,6,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","f","accept",4,423
"113","id0005",1,7,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,373
"114","id0005",1,8,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,1
"115","id0005",1,9,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,140
"116","id0005",1,10,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","f","accept",4,462
"117","id0005",1,11,0,0,"human","training_receiver_self",6,4,"Orange","f","accept",4,487
"118","id0005",1,12,0,0,"human","training_receiver_self",7,3,"Orange","j","reject",0,1136
"119","id0005",1,13,0,1,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,578
"120","id0005",1,14,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,626
"121","id0005",1,15,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,67
"122","id0005",1,16,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,80
"123","id0005",1,17,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,624
"124","id0005",1,18,0,0,"human","training_receiver_self",7,3,"Orange","j","reject",0,509
"125","id0005",1,19,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,84
"126","id0005",1,20,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,763
"127","id0005",1,21,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,624
"128","id0005",1,22,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,653
"129","id0005",1,23,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,339
"130","id0005",1,24,0,0,"human","training_receiver_self",6,4,"Orange","f","accept",4,718
"131","id0006",0,1,1,0,"practice","Practice",9,1,"black","f","accept",1,1548
"132","id0006",0,2,1,0,"practice","Practice",7,3,"black","j","reject",0,402
"133","id0006",1,1,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,27
"134","id0006",1,2,0,0,"AI","control",5,5,"CornflowerBlue","f","accept",5,460
"135","id0006",1,3,0,0,"AI","control",5,5,"CornflowerBlue","f","accept",5,468
"136","id0006",1,4,0,0,"human","control",6,4,"Orange","f","accept",4,1318
"137","id0006",1,5,0,0,"human","control",4,6,"Orange","f","accept",6,629
"138","id0006",1,6,0,0,"AI","control",7,3,"CornflowerBlue","j","reject",0,440
"139","id0006",1,7,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,398
"140","id0006",1,8,0,0,"human","control",6,4,"Orange","f","accept",4,440
"141","id0006",1,9,0,0,"AI","control",8,2,"CornflowerBlue","j","reject",0,282
"142","id0006",1,10,0,0,"human","control",5,5,"Orange","f","accept",5,338
"143","id0006",1,11,0,1,"AI","control",9,1,"CornflowerBlue","j","reject",0,683
"144","id0006",1,12,0,0,"human","control",8,2,"Orange","j","reject",0,1123
