"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",25,"female","training_receiver_self",0,0,400244,"this made no sense ","Question not asked","Question not asked"
"2","id0002",38,"Male","training_receiver_others",5,0.25,430712,"$3 or less for me I rejected.","Question not asked","Question not asked"
"3","id0003",49,"Male","training_receiver_others",6,0.3,508709,"If it was at least 50/50 I would reject","Question not asked","Question not asked"
"4","id0004",24,"male","control",0,0,278404,"no","Question not asked","Question not asked"
"5","id0005",68,"female","training_receiver_self",0,0,429983,"no","Question not asked","Question not asked"
"6","id0006",41,"Female","control",0,0,795878,"I only accepted an offer when I'd get at least $4","Question not asked","Question not asked"
"7","id0007",28,"male","control",0,0,356121,"50/50","Question not asked","Question not asked"
"8","id0008",42,"female","training_receiver_others",3,0.15,601134,"all accepted","Question not asked","Question not asked"
"9","id0009",41,"female","control",5,0.25,367205,"all were accepted because if you reject you get nothing","Question not asked","Question not asked"
"10","id0010",48,"male","training_receiver_others",6,0.3,433024,"i didnt want less than 3 bucks ","Question not asked","Question not asked"
"11","id0011",29,"Female","training_receiver_others",6,0.3,472837,"I accepted offers only where it was equal or I would receive more money","Question not asked","Question not asked"
"12","id0012",25,"male","control",4,0.2,326930,"I didn't want to accept any offer lower than 3","Question not asked","Question not asked"
"13","id0013",29,"female","training_receiver_self",0,0,668863,"Tried accepting the more even amounts.","Question not asked","Question not asked"
"14","id0014",23,"Demigirl; genderqueer","training_receiver_others",5,0.25,377202,"I accepted if the split was $6/$4 or higher","Question not asked","Question not asked"
"15","id0015",22,"F","training_receiver_others",0,0,529826,"rejected if it was not close to even","Question not asked","Question not asked"
"16","id0016",35,"female","training_receiver_self",2,0.1,864949,"if AI is truly being trained based on my responses I though it made sense to train it to always ""accept"" since the roles will be reversed in a future study. Also there is no real reward for ""rejecting"" the offer. We both receive $0 when I reject. There were times I felt ""petty"" enough to want to reject the $1 offer but then I would receive nothing. I would be punishing both myself and my somewhat greedy opponent. ","Question not asked","Question not asked"
"17","id0017",41,"Female","training_receiver_self",0,0,515932,"If they were closer to being even, those were the ones I accepted.","Question not asked","Question not asked"
"18","id0018",29,"Male","training_receiver_others",0,0,446415,"I reject anything less than $3 for me as I felt it was an unfair split","Question not asked","Question not asked"
"19","id0019",32,"female","training_receiver_others",4,0.2,514746,"If the offer seemed fair","Question not asked","Question not asked"
"20","id0020",24,"female","training_receiver_self",3,0.15,800818,"any offer below 70/30 split I deemed not good enough and reject the offer","Question not asked","Question not asked"
"21","id0021",26,"Female","training_receiver_others",0,0,454012,"No, I just went off of what was fair.","Question not asked","Question not asked"
"22","id0022",36,"Male","control",6,0.3,345882,"If they split equally or in my favor, I generally accepted. ","Question not asked","Question not asked"
"23","id0023",21,"female","training_receiver_self",4,0.2,406784,"no offer below $3","Question not asked","Question not asked"
"24","id0024",61,"Female ","training_receiver_others",5,0.25,527915,"I would accept equal or I get more, never less","Question not asked","Question not asked"
"25","id0025",40,"Female","control",0,0,420802,"As long as I was receiving at least $3 I was accepting the offer.","Question not asked","Question not asked"
"26","id0026",58,"female","training_receiver_others",4,0.2,474061,"minimum to me of $3 or i rejected it","Question not asked","Question not asked"
"27","id0027",23,"Male","control",6,0.3,430081,"I just accepted whatever I thought was fair for me.","Question not asked","Question not asked"
"28","id0028",30,"Male","training_receiver_self",0,0,1037441,"No","Question not asked","Question not asked"
"29","id0029",31,"Female","training_receiver_self",0,0,391124,"I wanted at least even if not more for me. I did accept one that was 4 for me but immediately regretted it. ","Question not asked","Question not asked"
"30","id0030",32,"male","control",6,0.3,296153,"I pretty much accepted any offer that was more than $2","Question not asked","Question not asked"
"31","id0031",34,"female","training_receiver_others",5,0.25,404344,"If it was AI, I was more apt to reject a lowball offer for me. ","Question not asked","Question not asked"
"32","id0032",53,"male","training_receiver_others",0,0,443219,"no","Question not asked","Question not asked"
"33","id0033",21,"Male","control",4,0.2,349219,"N/A","Question not asked","Question not asked"
"34","id0034",59,"male","training_receiver_self",5,0.25,417414,"no","Question not asked","Question not asked"
"35","id0035",30,"Male","training_receiver_self",0,0,422478,"If it didn't benefit me or wasn't fair I rejected it. I don't care about a bonus, fair is fair","Question not asked","Question not asked"
"36","id0036",26,"Male","control",0,0,355814,"I wanted equal or better","Question not asked","Question not asked"
"37","id0037",53,"female","training_receiver_self",0,0,621413,"if extreme differences not to my benefit, then every other one or so, I'd reject","Question not asked","Question not asked"
"38","id0038",31,"Woman","training_receiver_self",5,0.25,552943,"I chose to accept the ones that were not that big of a difference in terms of money.","Question not asked","Question not asked"
"39","id0039",40,"female","control",0,0,392276,"nomi didnt i though ai was fooling me","Question not asked","Question not asked"
"40","id0040",41,"female","control",4,0.2,379394,"I wouldn't accept anything less than $3","Question not asked","Question not asked"
"41","id0041",27,"Male","control",5,0.25,327832,"I Tried to accept fair offers","Question not asked","Question not asked"
"42","id0043",39,"male","control",5,0.25,371077,"No really strategy.  I simply refused to accept anything less than $3 out of fairness","Question not asked","Question not asked"
"43","id0044",47,"Male","training_receiver_self",1,0.05,475169,"I received money on each offer so I thought it was beneficial to me to accept them all ","Question not asked","Question not asked"
"44","id0045",23,"female","training_receiver_others",6,0.3,408850,"No, only if the offer seems fair.","Question not asked","Question not asked"
"45","id0046",30,"female","training_receiver_others",5,0.25,423542,"if they were making more than me but it was only a couple of $ difference i would still accept it","Question not asked","Question not asked"
"46","id0047",23,"Male","control",3,0.15,497031,"The minimum amount that I would accept is 3$. I wasn't going to just lose out on the negotiation. I was willing to concede but not by a lot more.","Question not asked","Question not asked"
"47","id0048",64,"Female","control",5,0.25,441246,"Just that I was more concerned about the human receiving funds than the AI. I was not concerned about AI at all.","Question not asked","Question not asked"
