"","id","age","gender","training_condition","outcome","money_won","time_elapsed","strategy","know_ug","ug_strategy"
"1","id0001",53,"male","training_receiver_self",0,0,547673,"none","Question not asked","Question not asked"
"2","id0002",28,"female","control",4,0.2,367458,"accepted anything over $2, seemed reasonable","Question not asked","Question not asked"
"3","id0003",57,"male","training_receiver_others",3,0.15,469189,"always accept if not 0","Question not asked","Question not asked"
"4","id0004",41,"Female","training_receiver_others",0,0,566367,"If it was not fair I rejected.","Question not asked","Question not asked"
"5","id0005",48,"female","control",4,0.2,593597,"i accepted pretty much anything except 9/1 splits","Question not asked","Question not asked"
"6","id0006",39,"female","control",4,0.2,751801,"no","Question not asked","Question not asked"
"7","id0007",34,"Male","training_receiver_others",6,0.3,490017,"I did not accept anything less than $4","Question not asked","Question not asked"
"8","id0008",52,"Male","training_receiver_self",0,0,671648,"C","Question not asked","Question not asked"
"9","id0009",20,"Male","control",0,0,393756,"If the income of one side was equal to or below 30%","Question not asked","Question not asked"
"10","id0010",24,"Male","training_receiver_self",5,0.25,565555,"Iï¸ wanted to earning to be as close to equal so Iï¸ only accepted offers that were close together.","Question not asked","Question not asked"
"11","id0011",41,"Female","training_receiver_others",4,0.2,473297,"even making $1 is better than nothing, so I accepted all offers","Question not asked","Question not asked"
"12","id0012",37,"Female","training_receiver_others",0,0,740391,"Tried to be fair","Question not asked","Question not asked"
"13","id0013",23,"Female","training_receiver_self",0,0,434946,"Yes, I would only accept the offer if it was $4 or more. Otherwise, I felt like I was getting the short end of the bargain. ","Question not asked","Question not asked"
"14","id0014",26,"non-binary","control",0,0,375414,"I required at least $2 to accept","Question not asked","Question not asked"
"15","id0015",60,"female","training_receiver_others",5,0.25,1344025,"where there was an equitable amount.","Question not asked","Question not asked"
"16","id0016",40,"female","training_receiver_others",6,0.3,394755,"if it was within $3 of being even i would accept generally","Question not asked","Question not asked"
"17","id0017",27,"m","training_receiver_others",4,0.2,1008824,"yes, nothing below 3","Question not asked","Question not asked"
"18","id0018",40,"male","training_receiver_self",1,0.05,797802,"I randomly just look out for best deals when dealing with bot and human","Question not asked","Question not asked"
"19","id0020",38,"MALE","control",1,0.05,518580,"YES I ACCEPTED ALL OFFERS REJECTING MEANS NOTHING","Question not asked","Question not asked"
"20","id0021",62,"male","training_receiver_others",0,0,866516,"no","Question not asked","Question not asked"
"21","id0022",25,"female","control",0,0,319444,"I wouldn't take more than a -2 difference","Question not asked","Question not asked"
"22","id0023",62,"female","training_receiver_self",0,0,624549,"Generally I would not accept less than half. Not all the time but mostly","Question not asked","Question not asked"
"23","id0024",28,"male","training_receiver_self",6,0.3,601646,"make it more even","Question not asked","Question not asked"
"24","id0027",58,"Female","control",0,0,548760,"I just accepted most of the offers unless it was continual that a very small amount was offered.  ","Question not asked","Question not asked"
"25","id0028",29,"female","training_receiver_self",3,0.15,728666,"accepting nothing bellow 3 dollars.","Question not asked","Question not asked"
"26","id0029",36,"Female","training_receiver_self",5,0.25,587261,"No I had no strategy","Question not asked","Question not asked"
"27","id0030",44,"female","control",2,0.1,535975,"no, i had no strategy.","Question not asked","Question not asked"
"28","id0031",54,"female","training_receiver_self",6,0.3,621394,"none","Question not asked","Question not asked"
"29","id0032",31,"Female","training_receiver_self",0,0,461083,"Yes, I wanted to teach the AI to give me more money, but accepted regardless of what the person offered.","Question not asked","Question not asked"
"30","id0034",28,"male","training_receiver_self",5,0.25,470653,"I rejected offers where I would get less than $3","Question not asked","Question not asked"
"31","id0035",53,"Female","control",6,0.3,431900,"I usually accepted because something is better than nothing. ","Question not asked","Question not asked"
"32","id0036",38,"Male","training_receiver_others",0,0,468153,"If the proposer offered me 4 or above I accepted. Anything lower and I rejected.","Question not asked","Question not asked"
"33","id0037",55,"female","training_receiver_self",0,0,555016,"I felt close to half and half was fair","Question not asked","Question not asked"
"34","id0039",38,"male","training_receiver_self",4,0.2,745478,"if I got a lot of money, I accepted","Question not asked","Question not asked"
"35","id0040",25,"Woman","training_receiver_self",1,0.05,515264,"Want to accept all offers where I receive something, even if small.","Question not asked","Question not asked"
"36","id0041",48,"female","training_receiver_others",4,0.2,468794,"Yes, I had a number in my head that I would accept","Question not asked","Question not asked"
"37","id0042",42,"male","training_receiver_self",0,0,601656,"no","Question not asked","Question not asked"
"38","id0043",50,"female","training_receiver_self",4,0.2,708121,"I decided that it was always better to leave with some money rather than none at all.","Question not asked","Question not asked"
"39","id0044",37,"Female","control",0,0,467656,"No strategies","Question not asked","Question not asked"
"40","id0045",24,"female","training_receiver_others",3,0.15,635066,"If I started with no money then any money is worth more then 0 and I do not tend to answer out of spite of the other player if they chose to be 'selfish', although I do think that anything less then 20% aka 2 dollars is just rude","Question not asked","Question not asked"
"41","id0047",51,"Male","control",6,0.3,608430,"none","Question not asked","Question not asked"
"42","id0048",27,"Female","control",5,0.25,363006,"I tried to always accept since accepting is better than getting nothing .","Question not asked","Question not asked"
"43","id0049",31,"Female","training_receiver_others",0,0,772832,"Anything 40% or more, I accepted.","Question not asked","Question not asked"
"44","id0050",35,"f","training_receiver_self",4,0.2,537699,"accept everything so at least I get something","Question not asked","Question not asked"
"45","id0051",39,"female","control",0,0,479376,"If the offer was less than $3 for me I rejected it","Question not asked","Question not asked"
"46","id0052",41,"Female","training_receiver_self",4,0.2,650800,"a 40/60 split or above was automatic yes. 9/1 auto no.  ","Question not asked","Question not asked"
"47","id0053",74,"Female","control",0,0,1042986,"No please.","Question not asked","Question not asked"
"48","id0054",30,"male","control",3,0.15,296413,"no","Question not asked","Question not asked"
"49","id0055",47,"female","training_receiver_self",1,0.05,530828,"I chose to accept every offer since the alternative was to get $0.","Question not asked","Question not asked"
"50","id0056",23,"female","training_receiver_self",6,0.3,398198,"i wouldn't accept me getting less than $4","Question not asked","Question not asked"
"51","id0057",30,"Nonbinary","training_receiver_self",5,0.25,401911,"Eventually I decided it mattered little if I accept all the AI since no one is facing any consequence. I thought I perhaps should have accepted all for the AI in the future. Oh well.","Question not asked","Question not asked"
"52","id0058",44,"female","training_receiver_others",5,0.25,752554,"I accepted any offer for 3 or more.","Question not asked","Question not asked"
"53","id0059",32,"female ","training_receiver_others",6,0.3,594937,"I just chose the option that seemed the most fair between the two ","Question not asked","Question not asked"
"54","id0060",33,"Woman","training_receiver_others",0,0,456656,"I was unwilling to take less than 40%","Question not asked","Question not asked"
"55","id0061",34,"female","control",1,0.05,913069,"I chose to accept all of the trials to earn a bonus no matter what.","Question not asked","Question not asked"
"56","id0062",51,"female ","training_receiver_self",0,0,799844,"I wanted the most money that was being offered. It was unblanced if I accepted the less amount. ","Question not asked","Question not asked"
"57","id0063",49,"Female","control",0,0,403648,"I wanted to choose offers that were close to a 50/50 split","Question not asked","Question not asked"
"58","id0064",33,"Female","control",4,0.2,483459,"None","Question not asked","Question not asked"
"59","id0065",22,"Male","control",0,0,324167,"Anything lower than me earning 2 was worth rejecting so the other participant could feel my wrath.","Question not asked","Question not asked"
"60","id0066",35,"non-binary","training_receiver_self",4,0.2,513356,"just when I would get $4 ","Question not asked","Question not asked"
"61","id0067",30,"male","training_receiver_others",0,0,469944,"I could have just accepted them all and gotten something regardless, but I decided I would only accept if I got at least 40%","Question not asked","Question not asked"
"62","id0068",52,"female","control",3,0.15,447540,"If the offer was too low, I rejected it.","Question not asked","Question not asked"
"63","id0069",51,"female","training_receiver_others",5,0.25,549569,"accept anything over 4","Question not asked","Question not asked"
"64","id0070",43,"F","training_receiver_self",5,0.25,1166158,"I accepted it if it was close enuogh","Question not asked","Question not asked"
"65","id0072",38,"MALE","training_receiver_others",3,0.15,658973,"I CHOOSE THE BEST CHOICE","Question not asked","Question not asked"
"66","id0073",34,"female","training_receiver_self",0,0,548238,"No, I did not have any.","Question not asked","Question not asked"
"67","id0074",53,"f","training_receiver_others",0,0,641032,"I wanted to ensure that the minimum I received was $4  per offer. ","Question not asked","Question not asked"
"68","id0075",24,"nonbinary","control",2,0.1,353180,"i accepted all the offers because i got some amount of money in all of them, and if i had rejected any offer, i would not get an alternative amount of money offered but none. so accepting all of them was the best option in my mind","Question not asked","Question not asked"
"69","id0076",43,"female","control",0,0,494887,"I think I may have panicked a couple times ! Like the first time a human offered me 5 each.","Question not asked","Question not asked"
"70","id0077",23,"male","training_receiver_self",3,0.15,822610,"I didn't accept much offers less than 2","Question not asked","Question not asked"
"71","id0078",77,"Male","control",2,0.1,459959,"I accepted all offers, since even 5 cents is better than nothing.","Question not asked","Question not asked"
"72","id0079",60,"Male","training_receiver_others",0,0,810974,"Accept all...at least you get paid something","Question not asked","Question not asked"
"73","id0080",30,"female","training_receiver_others",0,0,590238,"i rejected when my earnings were too little compared to the opponent's","Question not asked","Question not asked"
"74","id0081",64,"female","training_receiver_self",0,0,686682,"Rejected offers below 6-4 to train fairness...hopefully?","Question not asked","Question not asked"
"75","id0082",49,"Female","control",1,0.05,406698,"I never rejected as you said if that happened, no one would get any money. ","Question not asked","Question not asked"
