"","id","training_condition","practice_trial","trial_number","random_trial","opponent","opponent_color","slider_start","split_amount","response","rt","time_elapsed"
"1","id0002","control",1,1,0,"Practice","orange",0,10,5,8999,68940
"2","id0002","control",0,1,0,"AI","GoldenRod",0,10,6,5518,129196
"3","id0002","control",0,2,1,"Human Participant","DarkOrchid",0,10,6,4641,138348
"4","id0003","ai_training_for_others",1,1,0,"Practice","orange",0,10,2,4749,100747
"5","id0003","ai_training_for_others",0,1,1,"Human Participant","DarkOrchid",0,10,8,4370,156482
"6","id0003","ai_training_for_others",0,2,0,"AI","GoldenRod",0,10,9,3202,164217
"7","id0006","control",1,1,0,"Practice","orange",0,10,5,8966,408342
"8","id0006","control",0,1,0,"AI","GoldenRod",0,10,8,11444,559458
"9","id0006","control",0,2,1,"Human Participant","DarkOrchid",0,10,6,6200,570174
"10","id0007","ai_training_for_others",1,1,0,"Practice","orange",0,10,5,6090,100580
"11","id0007","ai_training_for_others",0,1,1,"AI","DarkOrchid",0,10,6,7310,174610
"12","id0007","ai_training_for_others",0,2,0,"Human Participant","GoldenRod",0,10,5,3211,182331
"13","id0011","ai_training_for_others",1,1,0,"Practice","orange",0,10,2,6541,65433
"14","id0011","ai_training_for_others",0,1,1,"AI","DarkOrchid",0,10,5,4426,121594
"15","id0011","ai_training_for_others",0,2,0,"Human Participant","GoldenRod",0,10,5,2758,128896
"16","id0013","ai_training_for_self",1,1,0,"Practice","orange",0,10,7,7982,63800
"17","id0013","ai_training_for_self",0,1,0,"Human Participant","GoldenRod",0,10,5,4121,110309
"18","id0013","ai_training_for_self",0,2,1,"AI","DarkOrchid",0,10,8,3643,118464
"19","id0015","ai_training_for_others",1,1,0,"Practice","orange",0,10,5,6514,115293
"20","id0015","ai_training_for_others",0,1,0,"AI","GoldenRod",0,10,5,5752,200513
"21","id0015","ai_training_for_others",0,2,1,"Human Participant","DarkOrchid",0,10,5,3280,208333
"22","id0016","ai_training_for_others",1,1,0,"Practice","orange",0,10,5,9167,112491
"23","id0016","ai_training_for_others",0,1,1,"AI","GoldenRod",0,10,6,5416,156535
"24","id0016","ai_training_for_others",0,2,0,"Human Participant","DarkOrchid",0,10,6,27068,188148
"25","id0017","ai_training_for_others",1,1,0,"Practice","orange",0,10,7,51595,96522
"26","id0017","ai_training_for_others",0,1,1,"Human Participant","DarkOrchid",0,10,6,5763,208897
"27","id0017","ai_training_for_others",0,2,0,"AI","GoldenRod",0,10,7,6008,219454
"28","id0020","control",1,1,0,"Practice","orange",0,10,5,5623,44273
"29","id0020","control",0,1,1,"AI","DarkOrchid",0,10,6,10516,71059
"30","id0020","control",0,2,0,"Human Participant","GoldenRod",0,10,6,7564,83171
