"","id","training_condition"
"1","id0001","training_receiver_self"
"2","id0001","training_receiver_self"
"3","id0001","training_receiver_self"
"4","id0001","training_receiver_self"
"5","id0001","training_receiver_self"
"6","id0001","training_receiver_self"
"7","id0001","training_receiver_self"
"8","id0001","training_receiver_self"
"9","id0001","training_receiver_self"
"10","id0001","training_receiver_self"
"11","id0001","training_receiver_self"
"12","id0001","training_receiver_self"
"13","id0001","training_receiver_self"
"14","id0001","training_receiver_self"
"15","id0001","training_receiver_self"
"16","id0001","training_receiver_self"
"17","id0001","training_receiver_self"
"18","id0001","training_receiver_self"
"19","id0001","training_receiver_self"
"20","id0001","training_receiver_self"
"21","id0001","training_receiver_self"
"22","id0001","training_receiver_self"
"23","id0001","training_receiver_self"
"24","id0001","training_receiver_self"
"25","id0001","training_receiver_self"
"26","id0001","training_receiver_self"
"27","id0001","training_receiver_self"
"28","id0001","training_receiver_self"
"29","id0001","training_receiver_self"
"30","id0001","training_receiver_self"
"31","id0002","training_receiver_others"
"32","id0002","training_receiver_others"
"33","id0002","training_receiver_others"
"34","id0002","training_receiver_others"
"35","id0003","control"
"36","id0004","training_receiver_others"
"37","id0004","training_receiver_others"
"38","id0005","training_receiver_self"
"39","id0006","training_receiver_others"
"40","id0006","training_receiver_others"
"41","id0007","training_receiver_others"
"42","id0008","training_receiver_others"
"43","id0008","training_receiver_others"
"44","id0008","control"
"45","id0009","control"
"46","id0010","control"
"47","id0011","control"
"48","id0012","control"
"49","id0013","training_receiver_self"
"50","id0014","control"
"51","id0015","training_receiver_others"
"52","id0016","control"
"53","id0017","training_receiver_self"
"54","id0017","training_receiver_self"
"55","id0018","training_receiver_others"
"56","id0018","training_receiver_others"
"57","id0019","training_receiver_self"
"58","id0019","training_receiver_self"
"59","id0020","training_receiver_self"
"60","id0020","training_receiver_self"
"61","id0021","training_receiver_self"
"62","id0022","control"
"63","id0023","training_receiver_self"
"64","id0023","training_receiver_self"
"65","id0024","training_receiver_others"
"66","id0024","training_receiver_others"
"67","id0025","control"
"68","id0026","training_receiver_self"
"69","id0026","training_receiver_self"
"70","id0026","training_receiver_self"
"71","id0026","training_receiver_self"
"72","id0026","training_receiver_self"
"73","id0026","training_receiver_self"
"74","id0026","training_receiver_self"
"75","id0026","training_receiver_self"
"76","id0026","training_receiver_self"
"77","id0026","training_receiver_self"
"78","id0027","training_receiver_self"
"79","id0027","training_receiver_self"
"80","id0027","training_receiver_self"
"81","id0028","training_receiver_others"
"82","id0028","training_receiver_others"
"83","id0029","control"
"84","id0030","training_receiver_others"
"85","id0030","training_receiver_others"
"86","id0031","control"
"87","id0032","training_receiver_others"
"88","id0032","training_receiver_others"
"89","id0033","training_receiver_self"
"90","id0034","training_receiver_self"
"91","id0034","training_receiver_self"
"92","id0035","training_receiver_others"
"93","id0036","control"
"94","id0037","training_receiver_others"
"95","id0037","training_receiver_others"
"96","id0038","training_receiver_self"
"97","id0039","training_receiver_others"
"98","id0039","training_receiver_others"
"99","id0040","training_receiver_self"
"100","id0041","training_receiver_others"
"101","id0042","control"
"102","id0043","training_receiver_self"
"103","id0044","training_receiver_others"
"104","id0045","control"
"105","id0046","control"
"106","id0047","training_receiver_others"
"107","id0048","control"
"108","id0049","training_receiver_self"
"109","id0050","training_receiver_self"
"110","id0051","training_receiver_others"
"111","id0051","training_receiver_others"
"112","id0051","training_receiver_others"
"113","id0051","training_receiver_others"
"114","id0051","training_receiver_others"
"115","id0051","training_receiver_others"
"116","id0051","training_receiver_others"
"117","id0052","training_receiver_others"
"118","id0052","training_receiver_others"
"119","id0053","training_receiver_self"
"120","id0054","training_receiver_others"
"121","id0055","control"
"122","id0056","training_receiver_others"
"123","id0057","training_receiver_others"
"124","id0058","training_receiver_self"
"125","id0058","training_receiver_self"
"126","id0059","training_receiver_self"
"127","id0060","training_receiver_others"
"128","id0061","training_receiver_others"
"129","id0062","control"
"130","id0062","control"
"131","id0063","control"
"132","id0064","control"
"133","id0065","control"
"134","id0066","training_receiver_self"
"135","id0067","training_receiver_others"
"136","id0068","training_receiver_others"
"137","id0069","training_receiver_self"
"138","id0069","training_receiver_self"
"139","id0070","training_receiver_self"
"140","id0071","control"
"141","id0072","training_receiver_self"
"142","id0073","training_receiver_others"
"143","id0073","training_receiver_others"
"144","id0074","training_receiver_others"
"145","id0074","training_receiver_others"
"146","id0075","training_receiver_self"
"147","id0075","training_receiver_self"
"148","id0076","training_receiver_others"
"149","id0077","training_receiver_self"
"150","id0078","control"
"151","id0079","training_receiver_self"
"152","id0079","training_receiver_self"
"153","id0080","training_receiver_self"
"154","id0081","training_receiver_others"
"155","id0081","training_receiver_others"
"156","id0081","training_receiver_others"
"157","id0082","training_receiver_self"
"158","id0083","training_receiver_self"
"159","id0084","training_receiver_others"
"160","id0085","control"
"161","id0086","training_receiver_self"
"162","id0087","training_receiver_others"
"163","id0087","training_receiver_others"
"164","id0088","control"
"165","id0089","control"
"166","id0089","control"
"167","id0090","training_receiver_self"
"168","id0090","training_receiver_self"
"169","id0091","training_receiver_others"
"170","id0091","training_receiver_others"
"171","id0092","training_receiver_others"
"172","id0093","training_receiver_self"
"173","id0094","control"
"174","id0095","training_receiver_others"
"175","id0095","training_receiver_others"
"176","id0095","training_receiver_others"
"177","id0096","training_receiver_others"
"178","id0097","control"
