"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0003",0,1,1,0,"practice","control",2,8,"black","f","accept",8,5801
"2","id0003",0,2,1,0,"practice","control",6,4,"black","j","reject",0,716
"3","id0003",1,1,0,0,"AI","control",6,4,"Orange","j","reject",0,3252
"4","id0003",1,2,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,290
"5","id0003",1,3,0,0,"human","control",6,4,"CornflowerBlue","j","reject",0,1545
"6","id0003",1,4,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,1296
"7","id0003",1,5,0,0,"AI","control",4,6,"Orange","f","accept",6,1329
"8","id0003",1,6,0,0,"AI","control",7,3,"Orange","j","reject",0,440
"9","id0003",1,19,0,0,"human","control",9,1,"CornflowerBlue","j","reject",0,359
"10","id0003",1,7,0,0,"human","control",9,1,"CornflowerBlue","f","accept",1,968
"11","id0003",1,8,0,0,"AI","control",4,6,"Orange","f","accept",6,94428
"12","id0003",1,9,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,955
"13","id0003",1,10,0,0,"human","control",7,3,"CornflowerBlue","j","reject",0,385
"14","id0003",1,11,0,0,"AI","control",9,1,"Orange","j","reject",0,127
"15","id0003",1,12,0,0,"AI","control",5,5,"Orange","f","accept",5,2617
"16","id0003",1,13,0,0,"AI","control",8,2,"Orange","j","reject",0,246
"17","id0003",1,14,0,0,"AI","control",8,2,"Orange","j","reject",0,915
"18","id0003",1,15,0,0,"AI","control",7,3,"Orange","j","reject",0,742
"19","id0003",1,16,0,0,"AI","control",6,4,"Orange","j","reject",0,486
"20","id0003",1,17,0,0,"AI","control",5,5,"Orange","j","reject",0,72
"21","id0003",1,18,0,0,"human","control",5,5,"CornflowerBlue","f","accept",5,99
"22","id0003",1,23,0,0,"human","control",6,4,"CornflowerBlue","j","reject",0,439
"23","id0003",1,20,0,0,"human","control",4,6,"CornflowerBlue","f","accept",6,1014
"24","id0003",1,21,0,1,"human","control",5,5,"CornflowerBlue","f","accept",5,336
"25","id0003",1,22,0,0,"AI","control",9,1,"Orange","j","reject",0,369
"26","id0003",1,24,0,0,"human","control",8,2,"CornflowerBlue","j","reject",0,311
"27","id0004",0,1,1,0,"practice","training_receiver_others",7,3,"black","j","reject",0,4694
"28","id0004",0,2,1,0,"practice","training_receiver_others",8,2,"black","j","reject",0,287
"29","id0004",0,1,1,0,"practice","training_receiver_others",7,3,"black","f","accept",3,27
"30","id0004",0,2,1,0,"practice","training_receiver_others",8,2,"black","f","accept",2,121
"31","id0004",1,1,0,0,"AI","training_receiver_others",5,5,"Orange","f","accept",5,634
"32","id0004",1,2,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,19
"33","id0004",1,3,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,18
"34","id0004",1,4,0,0,"AI","training_receiver_others",4,6,"Orange","f","accept",6,470
"35","id0004",1,5,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","f","accept",4,730
"36","id0004",1,18,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,188
"37","id0004",1,6,0,0,"human","training_receiver_others",6,4,"CornflowerBlue","f","accept",4,353
"38","id0004",1,7,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,1986
"39","id0004",1,8,0,0,"AI","training_receiver_others",4,6,"Orange","f","accept",6,38
"40","id0004",1,9,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,344
"41","id0004",1,10,0,0,"AI","training_receiver_others",8,2,"Orange","j","reject",0,77
"42","id0004",1,11,0,1,"human","training_receiver_others",7,3,"CornflowerBlue","j","reject",0,375
"43","id0004",1,12,0,0,"AI","training_receiver_others",6,4,"Orange","f","accept",4,248
"44","id0004",1,13,0,0,"human","training_receiver_others",9,1,"CornflowerBlue","j","reject",0,325
"45","id0004",1,14,0,0,"AI","training_receiver_others",9,1,"Orange","j","reject",0,2535
"46","id0004",1,15,0,0,"human","training_receiver_others",5,5,"CornflowerBlue","f","accept",5,579
"47","id0004",1,16,0,0,"AI","training_receiver_others",6,4,"Orange","f","accept",4,833
"48","id0004",1,17,0,0,"human","training_receiver_others",8,2,"CornflowerBlue","j","reject",0,361
"49","id0004",1,22,0,0,"AI","training_receiver_others",5,5,"Orange","f","accept",5,167
"50","id0004",1,19,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","f","accept",6,3531
"51","id0004",1,20,0,0,"human","training_receiver_others",7,3,"CornflowerBlue","f","accept",3,1009
"52","id0004",1,21,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,126
"53","id0004",1,23,0,0,"human","training_receiver_others",4,6,"CornflowerBlue","f","accept",6,475
"54","id0004",1,24,0,0,"AI","training_receiver_others",7,3,"Orange","j","reject",0,662
"55","id0005",1,7,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,822
"56","id0005",1,13,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,274
"57","id0005",1,14,0,0,"human","training_receiver_self",6,4,"Orange","f","accept",4,293
"58","id0005",1,15,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,306
"59","id0005",1,16,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,213
"60","id0005",1,17,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","f","accept",3,234
"61","id0005",1,18,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,234
"62","id0005",1,19,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,293
"63","id0005",1,20,0,0,"human","training_receiver_self",8,2,"Orange","f","accept",2,362
"64","id0005",1,8,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,341
"65","id0005",1,9,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,464
"66","id0005",1,10,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,335
"67","id0005",1,11,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,269
"68","id0005",1,12,0,0,"human","training_receiver_self",7,3,"Orange","f","accept",3,292
"69","id0005",0,1,1,0,"practice","training_receiver_self",1,9,"black","f","accept",9,3198
"70","id0005",0,2,1,0,"practice","training_receiver_self",10,0,"black","j","reject",0,2909
"71","id0005",1,1,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","f","accept",1,2802
"72","id0005",1,2,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,2018
"73","id0005",1,3,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,640
"74","id0005",1,4,0,1,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,798
"75","id0005",1,5,0,0,"human","training_receiver_self",7,3,"Orange","f","accept",3,280
"76","id0005",1,6,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","f","accept",2,308
"77","id0005",1,23,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","f","accept",4,250
"78","id0005",1,24,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","f","accept",4,270
