"","id","training_condition","practice_trial","trial_number","random_trial","opponent","opponent_color","slider_start","split_amount","response","rt","time_elapsed"
"1","id0003","control",1,1,0,"Practice","orange",0,10,10,17105,49614
"2","id0003","control",0,1,1,"AI","DarkOrchid",0,10,5,7267,85263
"3","id0003","control",0,2,0,"Human Participant","GoldenRod",0,10,5,4864,94658
"4","id0005","ai_training_for_self",1,1,0,"Practice","orange",0,10,5,8456,30634
"5","id0005","ai_training_for_self",0,1,1,"Human Participant","GoldenRod",0,10,5,4686,62312
"6","id0005","ai_training_for_self",0,2,0,"AI","DarkOrchid",0,10,5,4121,70942
"7","id0006","ai_training_for_others",1,1,0,"Practice","orange",0,10,9,5454,211627
"8","id0006","ai_training_for_others",0,1,0,"AI","GoldenRod",0,10,5,5216,288133
"9","id0006","ai_training_for_others",0,2,1,"Human Participant","DarkOrchid",0,10,5,3235,295879
"10","id0008","control",1,1,0,"Practice","orange",0,10,5,5782,219544
"11","id0008","control",0,1,1,"AI","DarkOrchid",0,10,5,4623,290622
"12","id0008","control",0,2,0,"Human Participant","GoldenRod",0,10,5,3864,299037
"13","id0010","control",0,1,0,"AI","GoldenRod",0,10,7,12569,281347
"14","id0010","control",1,1,0,"Practice","orange",0,10,8,31115,182940
"15","id0010","control",0,2,1,"Human Participant","DarkOrchid",0,10,6,11228,297104
"16","id0012","control",1,1,0,"Practice","orange",0,10,5,6913,140209
"17","id0012","control",0,1,1,"AI","DarkOrchid",0,10,8,8917,214804
"18","id0012","control",0,2,0,"Human Participant","GoldenRod",0,10,7,8034,227347
"19","id0013","ai_training_for_self",1,1,0,"Practice","orange",0,10,5,6065,79002
"20","id0013","ai_training_for_self",0,1,0,"AI","DarkOrchid",0,10,5,3276,153938
"21","id0013","ai_training_for_self",0,2,1,"Human Participant","GoldenRod",0,10,5,3947,162421
"22","id0014","control",1,1,0,"Practice","orange",0,10,8,9335,72629
"23","id0014","control",0,1,1,"Human Participant","DarkOrchid",0,10,6,3706,118286
"24","id0014","control",0,2,0,"AI","GoldenRod",0,10,7,4002,126802
"25","id0018","ai_training_for_others",1,1,0,"Practice","orange",0,10,5,8924,63841
