"","id","block","trial_number","practice_trial","random_trial","opponent","training_condition","proposer_offer","receiver_offer","color","response_key","response","outcome","reaction_time"
"1","id0001",1,7,0,0,"human","control",9,1,"Orange","j","reject",0,296
"2","id0001",0,1,1,0,"practice","Practice",9,1,"black","j","reject",0,1760
"3","id0001",0,2,1,0,"practice","Practice",10,0,"black","j","reject",0,216
"4","id0001",1,1,0,0,"AI","control",9,1,"CornflowerBlue","j","reject",0,640
"5","id0001",1,3,0,0,"AI","control",8,2,"CornflowerBlue","j","reject",0,538
"6","id0001",1,4,0,0,"AI","control",4,6,"CornflowerBlue","f","accept",6,281
"7","id0001",1,5,0,0,"human","control",7,3,"Orange","f","accept",3,328
"8","id0001",1,2,0,0,"human","control",5,5,"Orange","f","accept",5,557
"9","id0001",1,17,0,0,"AI","control",7,3,"CornflowerBlue","f","accept",3,383
"10","id0001",1,6,0,0,"human","control",8,2,"Orange","j","reject",0,616
"11","id0001",1,19,0,0,"AI","control",5,5,"CornflowerBlue","f","accept",5,951
"12","id0001",1,20,0,0,"human","control",4,6,"Orange","f","accept",6,329
"13","id0001",1,8,0,0,"AI","control",4,6,"CornflowerBlue","f","accept",6,280
"14","id0001",1,9,0,0,"human","control",8,2,"Orange","j","reject",0,714
"15","id0001",1,10,0,0,"human","control",5,5,"Orange","f","accept",5,402
"16","id0001",1,11,0,0,"human","control",4,6,"Orange","f","accept",6,476
"17","id0001",1,12,0,0,"human","control",7,3,"Orange","f","accept",3,429
"18","id0001",1,13,0,0,"AI","control",7,3,"CornflowerBlue","f","accept",3,457
"19","id0001",1,14,0,1,"AI","control",5,5,"CornflowerBlue","f","accept",5,348
"20","id0001",1,15,0,0,"AI","control",9,1,"CornflowerBlue","j","reject",0,319
"21","id0001",1,16,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,672
"22","id0001",1,21,0,0,"human","control",6,4,"Orange","f","accept",4,413
"23","id0001",1,18,0,0,"human","control",9,1,"Orange","j","reject",0,666
"24","id0001",1,23,0,0,"human","control",6,4,"Orange","f","accept",4,646
"25","id0001",1,24,0,0,"AI","control",6,4,"CornflowerBlue","f","accept",4,344
"26","id0001",1,22,0,0,"AI","control",8,2,"CornflowerBlue","j","reject",0,614
"27","id0002",1,20,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,351
"28","id0002",1,9,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,436
"29","id0002",1,10,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,3788
"30","id0002",1,15,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,1618
"31","id0002",1,16,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","j","reject",0,7724
"32","id0002",1,17,0,0,"human","training_receiver_self",8,2,"Orange","j","reject",0,396
"33","id0002",1,18,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,351
"34","id0002",1,19,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,378
"35","id0002",1,6,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,60
"36","id0002",1,7,0,0,"human","training_receiver_self",7,3,"Orange","j","reject",0,202
"37","id0002",1,8,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,442
"38","id0002",1,22,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,485
"39","id0002",1,11,0,0,"AI","training_receiver_self",4,6,"CornflowerBlue","f","accept",6,1423
"40","id0002",1,12,0,0,"AI","training_receiver_self",9,1,"CornflowerBlue","j","reject",0,338
"41","id0002",1,13,0,0,"human","training_receiver_self",9,1,"Orange","j","reject",0,14
"42","id0002",1,14,0,0,"human","training_receiver_self",6,4,"Orange","j","reject",0,11854
"43","id0002",0,1,1,0,"practice","Practice",1,9,"black","f","accept",9,830
"44","id0002",0,2,1,0,"practice","Practice",5,5,"black","f","accept",5,747
"45","id0002",1,1,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,894
"46","id0002",1,2,0,0,"human","training_receiver_self",5,5,"Orange","f","accept",5,680
"47","id0002",1,3,0,0,"human","training_receiver_self",7,3,"Orange","j","reject",0,56
"48","id0002",1,4,0,0,"AI","training_receiver_self",6,4,"CornflowerBlue","j","reject",0,695
"49","id0002",1,5,0,0,"human","training_receiver_self",6,4,"Orange","j","reject",0,444
"50","id0002",1,21,0,0,"AI","training_receiver_self",7,3,"CornflowerBlue","j","reject",0,548
"51","id0002",1,23,0,0,"human","training_receiver_self",4,6,"Orange","f","accept",6,42
"52","id0002",1,24,0,1,"human","training_receiver_self",5,5,"Orange","f","accept",5,516
"53","id0003",1,4,0,0,"AI","training_receiver_self",8,2,"CornflowerBlue","j","reject",0,6633
"54","id0003",1,5,0,1,"AI","training_receiver_self",6,4,"CornflowerBlue","j","reject",0,9054
"55","id0003",1,14,0,0,"AI","training_receiver_self",5,5,"CornflowerBlue","f","accept",5,6414
